Ref Commercial,Ref Fabrication,Produit,Modèle,Code Modèle,Dimensions,Type de Finition,Couleur Article,Description Article
AR2020-B23-01,AR2020-B-23-01,Fouta,ARTHUR,AR,200/200 CM,Frange,Or,Fouta Modèle ARTHUR 200/200 CM Couleur Or
AR2020-B24-01,AR2020-B-24-01,Fouta,ARTHUR,AR,200/200 CM,Frange,Jaune Safran,Fouta Modèle ARTHUR 200/200 CM Couleur Jaune Safran
AR2020-B24-02,AR2020-B-24-02,Fouta,ARTHUR,AR,200/200 CM,Frange,,
AR2020-B25-01,AR2020-B-25-01,Fouta,ARTHUR,AR,200/200 CM,Frange,Orange,Fouta Modèle ARTHUR 200/200 CM Couleur Orange
AR2020-B26-01,AR2020-B-26-01,Fouta,ARTHUR,AR,200/200 CM,Frange,Rouge Ferrari,Fouta Modèle ARTHUR 200/200 CM Couleur Rouge Ferrari
AR2020-B26-02,AR2020-B-26-02,Fouta,ARTHUR,AR,200/200 CM,Frange,,
AR2020-B27-01,AR2020-B-27-01,Fouta,ARTHUR,AR,200/200 CM,Frange,,
AR2020-B28-01,AR2020-B-28-01,Fouta,ARTHUR,AR,200/200 CM,Frange,Framboise,Fouta Modèle ARTHUR 200/200 CM Couleur Framboise
AR2020-B29-01,AR2020-B-29-01,Fouta,ARTHUR,AR,200/200 CM,Frange,Fushia,Fouta Modèle ARTHUR 200/200 CM Couleur Fushia
AR2020-B30-01,AR2020-B-30-01,Fouta,ARTHUR,AR,200/200 CM,Frange,,
AR2020-B31-01,AR2020-B-31-01,Fouta,ARTHUR,AR,200/200 CM,Frange,,
AR2020-B32-01,AR2020-B-32-01,Fouta,ARTHUR,AR,200/200 CM,Frange,ROSE PALE,Fouta Modèle ARTHUR 200/200 CM Couleur ROSE PALE
AR2020-B32-02,AR2020-B-32-02,Fouta,ARTHUR,AR,200/200 CM,Frange,ROSE PALE,Fouta Modèle ARTHUR 200/200 CM Couleur ROSE PALE
AR2020-B33-01,AR2020-B-33-01,Fouta,ARTHUR,AR,200/200 CM,Frange,Lila,Fouta Modèle ARTHUR 200/200 CM Couleur Lila
AR2020-T02-04-10,AR2020-T-02-04-10,Fouta,ARTHUR,AR,200/200 CM,Frange,Ecru Rayé Naturel Bande Bleu Marine,
AR2020-T02-04-11,AR2020-T-02-04-11,Fouta,ARTHUR,AR,200/200 CM,Frange,Ecru Rayé Naturel Bande Bleu Marine,
AR2020-T03-04-17,AR2020-T-03-04-17,Fouta,ARTHUR,AR,200/200 CM,Frange,,
AR2020-T04-02-08,AR2020-T-04-02-08,Fouta,ARTHUR,AR,200/200 CM,Frange,,
AR2020-T04-02-10,AR2020-T-04-02-10,Fouta,ARTHUR,AR,200/200 CM,Frange,,
AR2020-T06-29-17,AR2020-T-06-29-17,Fouta,ARTHUR,AR,200/200 CM,Frange,,
AR2020-T08-02-06,AR2020-T-08-02-06,Fouta,ARTHUR,AR,200/200 CM,Frange,,
AR2020-T10-01-14,AR2020-T-10-01-14,Fouta,ARTHUR,AR,200/200 CM,Frange,,
AR2020-T10-14-25,AR2020-T-10-14-25,Fouta,ARTHUR,AR,200/200 CM,Frange,,
AR2020-T15-01-29,AR2020-T-15-01-29,Fouta,ARTHUR,AR,200/200 CM,Frange,,
AR2020-T32-06-12,AR2020-T-32-06-12,Fouta,ARTHUR,AR,200/200 CM,Frange,,
AR2030-B01-10,AR2030-B-01-10,Jeté,ARTHUR,AR,200/300 CM,Frange,,
AR2030-B02-04,AR2030-B-02-04,Jeté,ARTHUR,AR,200/300 CM,Frange,Ecru Rayé Naturel,
AR2030-B02-10,AR2030-B-02-10,Jeté,ARTHUR,AR,200/300 CM,Frange,Ecru Rayé Bleu Marine,
AR2030-B03-01,AR2030-B-03-01,Jeté,ARTHUR,AR,200/300 CM,Frange,Beige,Jeté Modèle ARTHUR 200/300 CM Couleur Beige
AR2030-B03-12,AR2030-B-03-12,Jeté,ARTHUR,AR,200/300 CM,Frange,,
AR2030-B03-20,AR2030-B-03-20,Jeté,ARTHUR,AR,200/300 CM,Frange,,
AR2030-B04-01,AR2030-B-04-01,Jeté,ARTHUR,AR,200/300 CM,Frange,Naturel,Jeté Modèle ARTHUR 200/300 CM Couleur Naturel
AR2030-B04-02,AR2030-B-04-02,Jeté,ARTHUR,AR,200/300 CM,Frange,,
AR2030-B05-01,AR2030-B-05-01,Jeté,ARTHUR,AR,200/300 CM,Frange,Terra,Jeté Modèle ARTHUR 200/300 CM Couleur Terra
AR2030-B06-01,AR2030-B-06-01,Jeté,ARTHUR,AR,200/300 CM,Frange,Gris Clair,Jeté Modèle ARTHUR 200/300 CM Couleur Gris Clair
AR2030-B06-08,AR2030-B-06-08,Jeté,ARTHUR,AR,200/300 CM,Frange,,
AR2030-B06-32,AR2030-B-06-32,Jeté,ARTHUR,AR,200/300 CM,Frange,,
AR2030-B07-01,AR2030-B-07-01,Jeté,ARTHUR,AR,200/300 CM,Frange,,
